"Date","4/1/2020",""
"Cities","Cases","Deaths"
"Adana","197","3"
"Adıyaman","26",""
"Afyon","11",""
"Ağrı","29",""
"Aksaray","4",""
"Amasya","24",""
"Ankara","712","7"
"Antalya","95",""
"Ardahan","5",""
"Artvin","15",""
"Aydın","12",""
"Balıkesir","87","5"
"Bartın","8",""
"Batman","7",""
"Bayburt","18",""
"Bilecik","5",""
"Bingöl","8",""
"Bitlis","22",""
"Bolu","6",""
"Burdur","2",""
"Bursa","135",""
"Çanakkale","24",""
"Çankırı","13",""
"Çorum","29",""
"Denizli","81",""
"Diyarbakır","26",""
"Düzce","21",""
"Edirne","89",""
"Elazığ","9",""
"Erzincan","17",""
"Erzurum","86",""
"Eskişehir","83",""
"Gaziantep","37",""
"Giresun","61",""
"Gümüşhane","12",""
"Hakkari","2",""
"Hatay","22",""
"Iğdır","25",""
"Isparta","268",""
"İstanbul","8852","117"
"İzmir","853","18"
"Kahramanmaraş","15",""
"Karabük","10",""
"Karaman","12",""
"Kars","25",""
"Kastamonu","13",""
"Kayseri","109",""
"Kırıkkale","22",""
"Kırklareli","35",""
"Kırşehir","4",""
"Kilis","16",""
"Kocaeli","410","8"
"Konya","584","7"
"Kütahya","5",""
"MALATYA","49","1"
"Manisa","65",""
"Mardin","34",""
"Mersin","9",""
"Muğla","43",""
"Muş","11",""
"Nevşehir","18",""
"Niğde","3",""
"Ordu","73",""
"Osmaniye","31",""
"Rize","88",""
"Sakarya","207","3"
"Samsun","112",""
"Siirt","32",""
"Sinop","31",""
"Sivas","67",""
"Şanlıurfa","11",""
"Şırnak","3",""
"Tekirdağ","101",""
"Tokat","80",""
"Trabzon","74","5"
"Tunceli","6",""
"Uşak","38",""
"Van","26",""
"Yalova:","46",""
"Yozgat","13",""
"Zonguldak","112","5"
